"","pval","qval","gene","lineage"
"Msr1",1.47574118627948e-23,1.94176471878879e-22,"Msr1",1
"Melk",0.968452315894539,0.999838547650833,"Melk",1
"Dlgap5",0.937764890435584,0.999838547650833,"Dlgap5",1
"Osgin1",0.688037584680163,0.999838547650833,"Osgin1",1
"Anxa4",0.0597653381085315,0.147751144891302,"Anxa4",1
"Platr17",0.626105580091466,0.972150268410697,"Platr17",1
"Ncoa7",0.0218176488162705,0.05985637535328,"Ncoa7",1
"Uck2",0.467773498337585,0.812347962040408,"Uck2",1
"Mndal",3.83910855053297e-46,9.97171052086485e-45,"Mndal",1
"Parp14",3.35024506871532e-34,5.98258047984878e-33,"Parp14",1
"Cdc45",0.954194310825678,0.999838547650833,"Cdc45",1
"Ifi211",9.58375732446433e-19,9.442125442822e-18,"Ifi211",1
"Pygl",1.14973245265841e-05,5.0426861958702e-05,"Pygl",1
"Oxct1",6.17948103908797e-07,2.9780631513677e-06,"Oxct1",1
"6430548M08Rik",0.00465608139567088,0.0144412353151309,"6430548M08Rik",1
"Tnfsf13b",0.00373575557141627,0.0118407466605904,"Tnfsf13b",1
"Ckb",1.46640724673504e-11,9.94174404566131e-11,"Ckb",1
"Apoa2",0.418058140490237,0.756666317629389,"Apoa2",1
"Osbpl3",0.63514956069034,0.975088017493763,"Osbpl3",1
"Zfp800",0.4422716603392,0.784169610530495,"Zfp800",1
"Matn4",0.915873847745542,0.999838547650833,"Matn4",1
"Scd2",0.218926136452283,0.456571713143448,"Scd2",1
"Ang",6.40594032406792e-08,3.3804434427799e-07,"Ang",1
"Acox3",0.000169852345053336,0.000663485722864596,"Acox3",1
"Tuba1c",0.49476386585396,0.844810348172405,"Tuba1c",1
"Ptgir",0.942076582678663,0.999838547650833,"Ptgir",1
"Zbp1",1.77559889356046e-23,2.32104430530779e-22,"Zbp1",1
"Itgal",2.78026527712688e-91,2.05945576083472e-89,"Itgal",1
"Junb",0.0931576117945485,0.219961100592208,"Junb",1
"Ikbke",5.45454637978074e-07,2.64142681829576e-06,"Ikbke",1
"Cgnl1",0.793894169810313,0.999838547650833,"Cgnl1",1
"Arl5b",0.828092616893621,0.999838547650833,"Arl5b",1
"Cacna1s",0.985112857531318,0.999838547650833,"Cacna1s",1
"Ppargc1b",0.752830843766814,0.999838547650833,"Ppargc1b",1
"Ipmk",0.421151165607629,0.759775280921834,"Ipmk",1
"Cystm1",0.676869638245561,0.999838547650833,"Cystm1",1
"Dnajc9",0.658483153924521,0.991110817068642,"Dnajc9",1
"Nop58",0.286827781160185,0.570234157376114,"Nop58",1
"Haus4",0.546062862553659,0.892468522567979,"Haus4",1
"Map4k4",0.210623119541706,0.44202123723338,"Map4k4",1
"Nav2",0.440052211901711,0.782315043380819,"Nav2",1
"Ptpn7",0.571890681592725,0.920918971968961,"Ptpn7",1
"Cdca5",0.93588500008808,0.999838547650833,"Cdca5",1
"Gm5150",9.03006983303451e-12,6.20623356222303e-11,"Gm5150",1
"Rangap1",0.914721782867194,0.999838547650833,"Rangap1",1
"Ptgr1",0.363643421735027,0.684183295832599,"Ptgr1",1
"Hist3h2ba",0.867246568276377,0.999838547650833,"Hist3h2ba",1
"Pdia4",0.00188784920342231,0.00630333623847181,"Pdia4",1
"Rgs5",0.754907703649193,0.999838547650833,"Rgs5",1
"BC147527",0.324246848985457,0.627755993979128,"BC147527",1
"Fas",0.585355271863516,0.933580975858876,"Fas",1
"Slc6a8",0.761447520834212,0.999838547650833,"Slc6a8",1
"Lbp",0.181954573862207,0.390041958975791,"Lbp",1
"Gm44067",0.944587108268364,0.999838547650833,"Gm44067",1
"Tbc1d4",0.898774506993033,0.999838547650833,"Tbc1d4",1
"Hgf",0.119070212903648,0.271539824181638,"Hgf",1
"Brca2",0.826943770694233,0.999838547650833,"Brca2",1
"Plpp3",0.380492312171994,0.708551791754179,"Plpp3",1
"Pnp",1.51483945863208e-11,1.0235401747514e-10,"Pnp",1
"Stil",0.992799335788256,0.999838547650833,"Stil",1
"Cers4",0.787841937428741,0.999838547650833,"Cers4",1
"Mgll",0.885179028998761,0.999838547650833,"Mgll",1
"Lrrc8c",0.00123660493265322,0.00430123454835902,"Lrrc8c",1
"Cenpw",0.536984298208016,0.885130703541924,"Cenpw",1
"Nmral1",0.907767460946423,0.999838547650833,"Nmral1",1
"Metrnl",0.00318319306991122,0.0101862178237159,"Metrnl",1
"Fosl2",0.0300853653121776,0.080014269447281,"Fosl2",1
"1700025G04Rik",0.523081742947819,0.870352317716836,"1700025G04Rik",1
"Klra2",6.89122766496658e-18,6.53196935067922e-17,"Klra2",1
"Nme1",4.55700895737709e-07,2.22836623832621e-06,"Nme1",1
"Chp2",0.0948253182356055,0.223118395848483,"Chp2",1
"Dram1",2.30765551263041e-05,9.73694309126756e-05,"Dram1",1
"Itpkb",0.0312639478241082,0.0829282435652737,"Itpkb",1
"Dnajb9",0.339505997349911,0.649151046558148,"Dnajb9",1
"Ifitm2",5.82050973215349e-64,2.2386575892898e-62,"Ifitm2",1
"Clcf1",0.85180208731283,0.999838547650833,"Clcf1",1
"Arg2",0.247085427915841,0.506322598188199,"Arg2",1
"Atcayos",0.979090754978219,0.999838547650833,"Atcayos",1
"Klf7",0.00110490064585045,0.00385654675689512,"Klf7",1
"Fam129b",0.792849329961865,0.999838547650833,"Fam129b",1
"Krt19",0.859856198316985,0.999838547650833,"Krt19",1
"Hivep2",0.303640686014622,0.596305308624918,"Hivep2",1
"Ms4a14",0.0603280024594362,0.14895803076404,"Ms4a14",1
"Gm12185",0.894939673724739,0.999838547650833,"Gm12185",1
"Adcy4",0.00159073490092902,0.00539232169806448,"Adcy4",1
"Gdpd1",0.00248385960332411,0.00810553858337786,"Gdpd1",1
"Gstp2",0.874858853289124,0.999838547650833,"Gstp2",1
"Gsn",3.70465406767674e-07,1.82046882932518e-06,"Gsn",1
"Klra3",0.992068580665203,0.999838547650833,"Klra3",1
"Tmem176a",5.53563827719117e-39,1.15325797441483e-37,"Tmem176a",1
"Gpr162",0.421295393271157,0.759775280921834,"Gpr162",1
"Kntc1",0.952661031629985,0.999838547650833,"Kntc1",1
"Manf",3.18185606163203e-07,1.57128694401582e-06,"Manf",1
"Ets2",0.11863260735298,0.270850701719133,"Ets2",1
"Cryab",0.900837315785697,0.999838547650833,"Cryab",1
"Clec5a",0.000358711129731501,0.00134097618591215,"Clec5a",1
"Rbpms",0.0266846180510115,0.0718293891009732,"Rbpms",1
"Gm26520",0.562249327789373,0.911263092041124,"Gm26520",1
"Bcl3",0.020120614685095,0.0556586851593222,"Bcl3",1
"Rpa1",0.998463483759617,0.999838547650833,"Rpa1",1
"Cenpm",0.885898992452687,0.999838547650833,"Cenpm",1
"Bri3bp",0.431682527839428,0.771550541267967,"Bri3bp",1
"Dysf",0.280809237030151,0.559380950259265,"Dysf",1
"Rnh1",0.000224236957064886,0.000864111587918637,"Rnh1",1
"Dhx40",0.32997718892951,0.635182269354206,"Dhx40",1
"Rhou",0.596833854886664,0.948107791718291,"Rhou",1
"Psip1",0.576624034081927,0.925898252136092,"Psip1",1
"Mefv",0.0337140721891834,0.0888381348858587,"Mefv",1
"Plxna4",0.902548282445681,0.999838547650833,"Plxna4",1
"Adam19",0.177105505558345,0.380872054964184,"Adam19",1
"Rel",0.0233578398181484,0.0636453401039466,"Rel",1
"Tcf7l2",7.97299689714061e-27,1.13899955673437e-25,"Tcf7l2",1
"Plek",0.851522786798195,0.999838547650833,"Plek",1
"Madd",7.9532302687426e-09,4.50607947237541e-08,"Madd",1
"Mrc1",1.65310189899591e-58,5.70035137584798e-57,"Mrc1",1
"Mylip",0.299448559621919,0.590046422900332,"Mylip",1
"Coro1a",3.84658787859622e-31,6.15454060575396e-30,"Coro1a",1
"Dlc1",0.631276596118542,0.973571825937871,"Dlc1",1
"Zfand2a",0.795400102465204,0.999838547650833,"Zfand2a",1
"Fry",0.824359503920608,0.999838547650833,"Fry",1
"Tuba4a",0.434654767885848,0.775476838333359,"Tuba4a",1
"Pfkfb3",0.401670916747271,0.734450897973426,"Pfkfb3",1
"Relb",0.000958529991763578,0.00336917396050467,"Relb",1
"Gm46224",0.319836190424929,0.621041146456173,"Gm46224",1
"Tgfbr1",1.69807834040259e-31,2.80674105851667e-30,"Tgfbr1",1
"St8sia4",0.206659561577628,0.43507276121606,"St8sia4",1
"Insig1",0.156187531948728,0.341767028334197,"Insig1",1
"Sgms1",0.0977686870519488,0.228698683162453,"Sgms1",1
"Apobec3",8.24457093609032e-08,4.31652928591116e-07,"Apobec3",1
"Gsta3",0.858887914661927,0.999838547650833,"Gsta3",1
"Pdlim7",0.252571483521411,0.515978515876223,"Pdlim7",1
"Pim1",1.43354281576254e-06,6.69525124585791e-06,"Pim1",1
"Cdc42ep3",0.817540513755778,0.999838547650833,"Cdc42ep3",1
"Gpcpd1",0.0689582261093924,0.168602019827365,"Gpcpd1",1
"Ppa1",0.318454610692944,0.618959398820106,"Ppa1",1
"Gatm",1.96715196776475e-10,1.23720249544953e-09,"Gatm",1
"Mmp27",0.529633103783864,0.878245878722528,"Mmp27",1
"Abcd2",0.0680787599478189,0.16706444158974,"Abcd2",1
"Mms22l",0.863350269464718,0.999838547650833,"Mms22l",1
"Zfp667",0.750125797190566,0.999838547650833,"Zfp667",1
"Nrm",0.0878479915865291,0.209411183758115,"Nrm",1
"Rai14",0.141073971117787,0.313189870150227,"Rai14",1
"Dgkg",0.502807113558632,0.851493841758902,"Dgkg",1
"Hist1h2ac",0.733844807450097,0.999838547650833,"Hist1h2ac",1
"Anp32e",0.0265093468446205,0.071550193912606,"Anp32e",1
"Cenpn",0.931149019861122,0.999838547650833,"Cenpn",1
"Tap1",2.91496566002344e-30,4.55463384378663e-29,"Tap1",1
"Adam33",0.721896494755014,0.999838547650833,"Adam33",1
"Fam111a",0.000943541866781865,0.00333297526112726,"Fam111a",1
"Actb",5.36614186782957e-09,3.11984992315673e-08,"Actb",1
"Oas1a",1.18274111399015e-09,7.18991558656626e-09,"Oas1a",1
"Ccdc138",0.933072182812801,0.999838547650833,"Ccdc138",1
"Ddx58",4.0554226113875e-12,2.89673043670535e-11,"Ddx58",1
"Birc3",0.000140634233100832,0.00055150679647385,"Birc3",1
"Nhp2",0.00161761204337869,0.00547415243106157,"Nhp2",1
"Gas2l3",0.366982948421971,0.688519225403696,"Gas2l3",1
"Pvr",0.158773097041631,0.34666615074592,"Pvr",1
"Haus8",0.0123613991246522,0.0355723715817328,"Haus8",1
"Psat1",0.660494428992711,0.991733376865933,"Psat1",1
"Rnasel",2.1433390156763e-06,9.89994926409379e-06,"Rnasel",1
"Epas1",0.350413668490085,0.662407690907534,"Epas1",1
"Pycard",2.56764088150346e-07,1.27426346476599e-06,"Pycard",1
"Smagp",5.09588624670869e-05,0.000210311802835869,"Smagp",1
"Spsb1",0.0160109947554889,0.045228798744319,"Spsb1",1
"Stab2",0.0280109147263023,0.0750962861294967,"Stab2",1
"Sema4d",4.20844841523902e-09,2.48286042196992e-08,"Sema4d",1
"Cnn2",0.0933422002583597,0.219961100592208,"Cnn2",1
"Sh3bgrl2",0.224842882345223,0.466444178010286,"Sh3bgrl2",1
"Xaf1",6.77507593114076e-12,4.70491384106997e-11,"Xaf1",1
"Col3a1",0.802193993023339,0.999838547650833,"Col3a1",1
"Cenpu",0.871970392074365,0.999838547650833,"Cenpu",1
"Sh2d3c",0.92452150511057,0.999838547650833,"Sh2d3c",1
"Zfp367",0.887717567111698,0.999838547650833,"Zfp367",1
"Nav1",0.207476698960528,0.436333751757156,"Nav1",1
"Abcb1b",0.551585562224687,0.899501355059303,"Abcb1b",1
"Phlda3",0.988405547124672,0.999838547650833,"Phlda3",1
"Ezr",0.153275626251801,0.336499728324481,"Ezr",1
"Plxnc1",0.176342864592307,0.379640182114762,"Plxnc1",1
"Il17ra",0.00130813383068,0.00451080631268964,"Il17ra",1
"Rnase6",0.292136348263827,0.57734456178622,"Rnase6",1
"Slc28a2",0.00177652567605467,0.0059715148774947,"Slc28a2",1
"Hpgds",0.000109715030109153,0.000435377103607748,"Hpgds",1
"Mfsd6",0.839011659498202,0.999838547650833,"Mfsd6",1
"Slc25a20",0.385179186935614,0.712720400430708,"Slc25a20",1
"Slfn4",0.701316743573369,0.999838547650833,"Slfn4",1
"Srsf7",0.0117445657002648,0.0339438315036555,"Srsf7",1
"Etv5",0.765051581548697,0.999838547650833,"Etv5",1
"Rnf144b",0.024952076662458,0.0675480162546301,"Rnf144b",1
"Hk2",0.0230213211533932,0.0628997845721126,"Hk2",1
"Mat2a",0.000214457793175947,0.000828022367474699,"Mat2a",1
"Dhrs3",0.455925646816467,0.800571811793621,"Dhrs3",1
"Slc29a1",1.14639562433537e-10,7.34868989958573e-10,"Slc29a1",1
"Fxyd5",6.73351407828439e-07,3.22177707094947e-06,"Fxyd5",1
"Nfya",0.0232449401694787,0.0634241205169951,"Nfya",1
"Trim30a",3.23663383623843e-44,7.99168848453934e-43,"Trim30a",1
"Coro2a",0.144649046787759,0.319666401740904,"Coro2a",1
"Il18",0.000419703633730244,0.00155158459789369,"Il18",1
"Exoc3l4",0.34250043898864,0.653626791963053,"Exoc3l4",1
"Csrp2",0.908505617485332,0.999838547650833,"Csrp2",1
"Itga9",1.4779689695822e-22,1.78068550552072e-21,"Itga9",1
"Kdm6b",0.003044262083687,0.00978862406330225,"Kdm6b",1
"Tes",0.269449621918899,0.542933843349202,"Tes",1
"Gm33973",0.981786851326676,0.999838547650833,"Gm33973",1
"Bmyc",8.11955589140133e-09,4.58731971265612e-08,"Bmyc",1
"Enpp1",0.203883656273959,0.430588503218499,"Enpp1",1
"2510009E07Rik",0.00418331063375885,0.0131344132928064,"2510009E07Rik",1
"Lrat",0.860508529983277,0.999838547650833,"Lrat",1
"Trf",3.56781803362895e-29,5.40578489943781e-28,"Trf",1
"1700003F12Rik",0.475889270098876,0.822626223161411,"1700003F12Rik",1
"Sparc",0.178332186555736,0.383098145125103,"Sparc",1
"Stat2",2.90881774578198e-14,2.3842768408049e-13,"Stat2",1
"Aprt",6.45075317055564e-09,3.6967066879975e-08,"Aprt",1
"Lpin1",0.370255147978507,0.692713092569704,"Lpin1",1
"Lpar1",0.7472994049558,0.999838547650833,"Lpar1",1
"Mmp19",0.385225376432798,0.712720400430708,"Mmp19",1
"BC035044",0.673935177065298,0.999838547650833,"BC035044",1
"Ptprm",0.136982950743526,0.305765515052514,"Ptprm",1
"Inf2",0.0697709608368368,0.170173075211797,"Inf2",1
"Cep290",0.952168361628177,0.999838547650833,"Cep290",1
"Pilrb1",1.2847611379582e-15,1.13695675925504e-14,"Pilrb1",1
"Sik1",0.271422436053605,0.545024971995191,"Sik1",1
"Dnaja1",3.08036493872316e-12,2.20814690947897e-11,"Dnaja1",1
"Agtrap",3.10075927974646e-08,1.68062833590594e-07,"Agtrap",1
"Slc22a17",0.899232983611417,0.999838547650833,"Slc22a17",1
"Ccdc86",0.0885344212093645,0.210545591461033,"Ccdc86",1
"Lncpint",0.0879660860586643,0.209443062044439,"Lncpint",1
"Il12b",0.719557564556426,0.999838547650833,"Il12b",1
"Ccnb1",0.887873990087571,0.999838547650833,"Ccnb1",1
"Hbb-bs",0.980760848605964,0.999838547650833,"Hbb-bs",1
"Hdc",0.89126902578373,0.999838547650833,"Hdc",1
"Nrg1",0.796028016685603,0.999838547650833,"Nrg1",1
"Fbxl5",0.106824035313658,0.247277859522357,"Fbxl5",1
"Pimreg",0.998438797003327,0.999838547650833,"Pimreg",1
"Cxcr2",0.954589169880985,0.999838547650833,"Cxcr2",1
"Il7r",0.386064176563372,0.713612156309376,"Il7r",1
"Upp1",0.819927856262687,0.999838547650833,"Upp1",1
"Lmo4",0.312798002960016,0.610933599531281,"Lmo4",1
"Tnfaip6",0.944255013446915,0.999838547650833,"Tnfaip6",1
"Cdkn3",0.855205609768043,0.999838547650833,"Cdkn3",1
"Vcan",0.871795148403885,0.999838547650833,"Vcan",1
"B230344G16Rik",0.880159195092208,0.999838547650833,"B230344G16Rik",1
"Dcn",0.120453838280415,0.274070166735871,"Dcn",1
"Dennd5b",0.878376455728711,0.999838547650833,"Dennd5b",1
"Ltb4r1",0.655655826932397,0.990004669364159,"Ltb4r1",1
"Ace",0.56838094557454,0.917483366544858,"Ace",1
"Sdc1",0.883956914520935,0.999838547650833,"Sdc1",1
"Knl1",0.982988853146235,0.999838547650833,"Knl1",1
"Pou3f1",0.963482643052565,0.999838547650833,"Pou3f1",1
"Sgo2a",0.947622697781533,0.999838547650833,"Sgo2a",1
"Hist1h1d",0.884564832509433,0.999838547650833,"Hist1h1d",1
"Aspm",0.97184069507301,0.999838547650833,"Aspm",1
"Yae1d1",0.884775253512797,0.999838547650833,"Yae1d1",1
"Itpkc",0.841824772983276,0.999838547650833,"Itpkc",1
"Incenp",0.82800551468015,0.999838547650833,"Incenp",1
"Kcnk3",0.952140730179784,0.999838547650833,"Kcnk3",1
"Spc25",0.974741982920406,0.999838547650833,"Spc25",1
"Icos",0.257179993297665,0.524322106621132,"Icos",1
"Tfec",0.000196775433324731,0.000764176440096041,"Tfec",1
"Mcm10",0.971940959415602,0.999838547650833,"Mcm10",1
"Bcl2l14",0.938493760939437,0.999838547650833,"Bcl2l14",1
"Cyp51",0.015378927084937,0.0436281619430836,"Cyp51",1
"Csf1",0.886361261050337,0.999838547650833,"Csf1",1
"Hspb1",0.942195422084165,0.999838547650833,"Hspb1",1
"Hist1h1e",0.930272784503737,0.999838547650833,"Hist1h1e",1
"Ch25h",0.329252547486268,0.634397972035198,"Ch25h",1
"Klrb1b",0.559903582690259,0.909544682445462,"Klrb1b",1
"Fam102b",0.225193977942943,0.466444178010286,"Fam102b",1
"Kif22",0.977733677689246,0.999838547650833,"Kif22",1
"Prdx5",3.44128671171558e-06,1.55012914942143e-05,"Prdx5",1
"Slc9a3r2",0.639210129071973,0.977956213752432,"Slc9a3r2",1
"Serpinb9",0.236196033572592,0.486500584083609,"Serpinb9",1
"Ckap2",0.88301507252255,0.999838547650833,"Ckap2",1
"Arap2",0.204276284061953,0.430962624603276,"Arap2",1
"Htra4",0.928090063190381,0.999838547650833,"Htra4",1
"Klk8",0.922760797251192,0.999838547650833,"Klk8",1
"Shcbp1",0.983509319078101,0.999838547650833,"Shcbp1",1
"Hba-a1",0.97305423593131,0.999838547650833,"Hba-a1",1
"Ahnak2",0.959020363300441,0.999838547650833,"Ahnak2",1
"Camk2n1",4.05577295663718e-05,0.00016934333848172,"Camk2n1",1
"Dcstamp",0.948139162891029,0.999838547650833,"Dcstamp",1
"Tcim",0.802828573651897,0.999838547650833,"Tcim",1
"Bst2",3.77792414379323e-60,1.3492586227833e-58,"Bst2",1
"Gstm1",0.185394606712007,0.396566003662047,"Gstm1",1
"Ccne2",0.979103392001721,0.999838547650833,"Ccne2",1
"Tmem37",7.90763897014029e-12,5.45354411733813e-11,"Tmem37",1
"Kif2c",0.969481969320698,0.999838547650833,"Kif2c",1
"Fscn1",0.898715206913971,0.999838547650833,"Fscn1",1
"Gas7",6.4407397416222e-07,3.09650949116452e-06,"Gas7",1
"Edn1",0.957032997200872,0.999838547650833,"Edn1",1
"Il23a",0.947483626665678,0.999838547650833,"Il23a",1
"Ccl17",0.967154977423218,0.999838547650833,"Ccl17",1
"Slc2a1",0.0904842766864701,0.214927023008242,"Slc2a1",1
"Mxd3",0.995994096077876,0.999838547650833,"Mxd3",1
"Ska1",0.988547774116606,0.999838547650833,"Ska1",1
"Ptma",1.95881539245904e-08,1.07923713083142e-07,"Ptma",1
"Slc4a8",0.125696919838206,0.285027029111578,"Slc4a8",1
"Adssl1",5.94464697608997e-05,0.000242638652085305,"Adssl1",1
"Hba-a2",0.991669101611533,0.999838547650833,"Hba-a2",1
"Syt11",0.657601433380825,0.991109922201696,"Syt11",1
"Bcl2a1b",2.73806478059865e-14,2.25355125975198e-13,"Bcl2a1b",1
"AC139347.1",0.983394097979746,0.999838547650833,"AC139347.1",1
"Fndc7",0.937102382834262,0.999838547650833,"Fndc7",1
"Kdr",0.851416679563203,0.999838547650833,"Kdr",1
"Htra1",0.959328949606097,0.999838547650833,"Htra1",1
"Cpd",1.75632470420175e-10,1.10809129602634e-09,"Cpd",1
"C130026I21Rik",0.816228778904964,0.999838547650833,"C130026I21Rik",1
"Csf3",0.896647225836578,0.999838547650833,"Csf3",1
"Ppbp",0.992317045785325,0.999838547650833,"Ppbp",1
"Carhsp1",0.608418105100839,0.959650008045487,"Carhsp1",1
"L1cam",0.96312462295727,0.999838547650833,"L1cam",1
"Tspan3",0.666848141995298,0.997529008220341,"Tspan3",1
"Cd28",0.871284922033551,0.999838547650833,"Cd28",1
"Usp2",0.51350350067368,0.861417233131913,"Usp2",1
"F3",0.963447684927393,0.999838547650833,"F3",1
"Creb3l2",0.450779037919226,0.793625066759201,"Creb3l2",1
"Stx11",0.0768266970329501,0.185347881864777,"Stx11",1
"Mat1a",0.937294592012301,0.999838547650833,"Mat1a",1
"Mlxipl",0.931747395445635,0.999838547650833,"Mlxipl",1
"Rfc3",0.769393769404166,0.999838547650833,"Rfc3",1
"Eprs",0.0343189809470564,0.0901944308726843,"Eprs",1
"Iqgap3",0.895572726717274,0.999838547650833,"Iqgap3",1
"Siva1",0.142331173061728,0.315240693381458,"Siva1",1
"Plcb4",0.990298212645806,0.999838547650833,"Plcb4",1
"Ly6k",0.997500633144598,0.999838547650833,"Ly6k",1
"Kctd12b",0.622070971557288,0.970469534410746,"Kctd12b",1
"AC127341.3",0.830969057211873,0.999838547650833,"AC127341.3",1
"Smpdl3a",1.32895260615014e-51,3.79700744614326e-50,"Smpdl3a",1
"Ceacam1",0.80015418396148,0.999838547650833,"Ceacam1",1
"Slc5a3",0.498553176682708,0.847879552181477,"Slc5a3",1
"Nectin2",0.408087782556715,0.741977786466754,"Nectin2",1
"Timp3",0.919834015224343,0.999838547650833,"Timp3",1
"Mad2l1",0.892893933040187,0.999838547650833,"Mad2l1",1
"Kif20b",0.910414176826112,0.999838547650833,"Kif20b",1
"Prr11",0.992858768844154,0.999838547650833,"Prr11",1
"Sirpb1a",0.766852200172246,0.999838547650833,"Sirpb1a",1
"Hirip3",0.849546268530999,0.999838547650833,"Hirip3",1
"Creld2",0.0385553594056313,0.099884350791791,"Creld2",1
"Lst1",1.05154781321163e-109,1.16838645912403e-107,"Lst1",1
"AI504432",0.000803950290767416,0.00287125103845506,"AI504432",1
"Pold1",0.938251652552284,0.999838547650833,"Pold1",1
"Hnrnpab",0.591181073350357,0.942121232430848,"Hnrnpab",1
"Fbxl18",0.908554147993697,0.999838547650833,"Fbxl18",1
"Serpinb1a",0.929531826405796,0.999838547650833,"Serpinb1a",1
"Postn",0.815899119800422,0.999838547650833,"Postn",1
"Kmt5a",0.22825128172703,0.472081244523329,"Kmt5a",1
"9130015A21Rik",0.963905731771556,0.999838547650833,"9130015A21Rik",1
"B4galt5",0.00488623115852085,0.0151042694235575,"B4galt5",1
"Dbf4",0.631129219821207,0.973571825937871,"Dbf4",1
"Atr",0.76891436460216,0.999838547650833,"Atr",1
"Ldha",3.99516569671327e-11,2.66344379780884e-10,"Ldha",1
"Slc48a1",1.76951748408899e-06,8.19221057448608e-06,"Slc48a1",1
"Pdgfrl",0.793272529712991,0.999838547650833,"Pdgfrl",1
"Rfc4",0.654486417328561,0.989397456279004,"Rfc4",1
"Gm37233",0.90385471850286,0.999838547650833,"Gm37233",1
"Zfp263",0.267535230656152,0.540475213446771,"Zfp263",1
"Susd3",0.00443951897622111,0.0138302771844894,"Susd3",1
"Mrps28",0.324549848887209,0.627755993979128,"Mrps28",1
"Bnip3",0.792987081682394,0.999838547650833,"Bnip3",1
"Siglec1",9.80740005289421e-08,5.0815544315514e-07,"Siglec1",1
"Gm4117",0.964935517390091,0.999838547650833,"Gm4117",1
"Tfrc",0.292990250769311,0.578460514845628,"Tfrc",1
"Arl4d",0.988067072498737,0.999838547650833,"Arl4d",1
"P2ry14",0.302053649569263,0.594114717584807,"P2ry14",1
"H2-Oa",0.546636970072887,0.892468522567979,"H2-Oa",1
"Dbp",0.691030386442126,0.999838547650833,"Dbp",1
"Cd177",0.88951728606755,0.999838547650833,"Cd177",1
"Fasn",0.848640504357446,0.999838547650833,"Fasn",1
"Krt80",0.155161429725479,0.339893602903567,"Krt80",1
"Fcor",0.920343322345686,0.999838547650833,"Fcor",1
"Slc30a1",0.00417223353170646,0.0131202312317813,"Slc30a1",1
"Serping1",0.854576025813044,0.999838547650833,"Serping1",1
"Asb4",0.843889199000024,0.999838547650833,"Asb4",1
"Creg1",9.39321931935559e-28,1.39158804731194e-26,"Creg1",1
"Dtymk",0.0696935944072993,0.170173075211797,"Dtymk",1
"Hist1h4i",0.840127763555212,0.999838547650833,"Hist1h4i",1
"Kifc1",0.991585899200463,0.999838547650833,"Kifc1",1
"Mbd1",0.402284492843703,0.734450897973426,"Mbd1",1
"Pif1",0.994194166845554,0.999838547650833,"Pif1",1
"Slc31a2",0.00537739892821431,0.0164195387121048,"Slc31a2",1
"H2-DMb2",0.0610006161008107,0.150433085328756,"H2-DMb2",1
"Tmem123",0.00173444151968908,0.00584971844751797,"Tmem123",1
"Skint3",0.706406367540972,0.999838547650833,"Skint3",1
"Sgo1",0.903214667666762,0.999838547650833,"Sgo1",1
"Adam15",0.451332221561029,0.79390012587692,"Adam15",1
"Gm14005",0.72695174903296,0.999838547650833,"Gm14005",1
"Igfbp7",0.423327963269529,0.761381228902031,"Igfbp7",1
"St7",0.0812630110345872,0.194176848350268,"St7",1
"Topors",0.819270215072355,0.999838547650833,"Topors",1
"Nfe2",0.706008812295393,0.999838547650833,"Nfe2",1
"Tmem8",0.327171830030053,0.632216096676431,"Tmem8",1
"Ramp1",4.61410331874899e-12,3.26085040194275e-11,"Ramp1",1
"Dek",0.000297107847610011,0.00112540851367428,"Dek",1
"Cdkn2d",0.0307117775052116,0.0815717862024211,"Cdkn2d",1
"Glul",4.39995481343221e-11,2.91387735988888e-10,"Glul",1
"Spry2",0.796164491526158,0.999838547650833,"Spry2",1
"Plau",0.667856194548227,0.997584774720316,"Plau",1
"Src",0.0039200523138874,0.012366095627405,"Src",1
"Rnf213",4.81790012579773e-64,1.88937259835205e-62,"Rnf213",1
"Gm16486",0.953199013640747,0.999838547650833,"Gm16486",1
"Btbd11",0.366274981820437,0.68784034144683,"Btbd11",1
"Chst11",0.966715485394887,0.999838547650833,"Chst11",1
"Nup62",0.563456109457771,0.912479529486269,"Nup62",1
"Dgat1",0.766534022971093,0.999838547650833,"Dgat1",1
"Ip6k3",0.986487063732789,0.999838547650833,"Ip6k3",1
"9530059O14Rik",0.991448555700388,0.999838547650833,"9530059O14Rik",1
"Gfi1b",0.987636582275519,0.999838547650833,"Gfi1b",1
"Gm10734",0.97288740463627,0.999838547650833,"Gm10734",1
"Cdc25b",0.944972168379275,0.999838547650833,"Cdc25b",1
"Gm14461",0.967412790738284,0.999838547650833,"Gm14461",1
"Matk",0.391968532312718,0.722522640207775,"Matk",1
"Arhgef10l",0.492729781245742,0.842993637717267,"Arhgef10l",1
"Eya1",0.988839344001405,0.999838547650833,"Eya1",1
"Rnf157",0.513176996108353,0.861417233131913,"Rnf157",1
"Gc",0.792108863275502,0.999838547650833,"Gc",1
"Stard10",0.913973333349406,0.999838547650833,"Stard10",1
"Proz",0.972936567883459,0.999838547650833,"Proz",1
"Troap",0.996446199163748,0.999838547650833,"Troap",1
"Pik3ip1",0.0203936595350259,0.0562858461533664,"Pik3ip1",1
"Gpd2",0.197516871707901,0.418911710939345,"Gpd2",1
"Arl5a",1.17984127809122e-07,6.00428131344135e-07,"Arl5a",1
"Gm7008",0.957359151331796,0.999838547650833,"Gm7008",1
"Fcgr4",2.73276647951585e-58,9.26361518479949e-57,"Fcgr4",1
