"","pval","qval","gene","lineage"
"Plec",0.700961651647628,0.999838547650833,"Plec",1
"Emilin2",1.44800688506657e-13,1.1198856069256e-12,"Emilin2",1
"Prdx6",6.09207943046976e-05,0.000248149874968218,"Prdx6",1
"Cks2",0.512888385991444,0.861417233131913,"Cks2",1
"Ran",5.87135186273118e-05,0.000240137090500253,"Ran",1
"Serpinb6a",3.09898575015165e-32,5.34307887957181e-31,"Serpinb6a",1
"Ccne1",0.976414526591908,0.999838547650833,"Ccne1",1
"Myc",0.213585386097627,0.446856901880194,"Myc",1
"Ndc80",0.89607498687575,0.999838547650833,"Ndc80",1
"Cd83",2.25265815629752e-23,2.90665568554519e-22,"Cd83",1
"Srgn",3.37365170261715e-10,2.09543584013488e-09,"Srgn",1
"Cfp",2.85965220493241e-113,3.57456525616551e-111,"Cfp",1
"Ocstamp",0.888370099143146,0.999838547650833,"Ocstamp",1
"Socs1",0.020515583659982,0.0565167593938897,"Socs1",1
"Slfn9",0.187380655244377,0.399958709166227,"Slfn9",1
"Jun",4.09441527799146e-24,5.49585943354558e-23,"Jun",1
"Batf2",0.00089865618155281,0.00318108382850552,"Batf2",1
"Dmpk",7.91769228784168e-32,1.33070458619188e-30,"Dmpk",1
"Cxcr4",4.49802136694274e-05,0.000187027915465395,"Cxcr4",1
"Gdap10",4.25080585265869e-14,3.42806923601508e-13,"Gdap10",1
"Cnn3",0.56753615676369,0.916859703980114,"Cnn3",1
"Kif23",0.610120722236689,0.960820035018407,"Kif23",1
"Tubb5",0.00195852893314271,0.00651756716520037,"Tubb5",1
"Spon1",0.585074989471485,0.933580975858876,"Spon1",1
"Sowahc",1.73333449529468e-07,8.71022359444561e-07,"Sowahc",1
"Kcnq1ot1",0.230932911900271,0.476641717028422,"Kcnq1ot1",1
"Clspn",0.991900344529677,0.999838547650833,"Clspn",1
"Phf11b",4.66622765427005e-13,3.48225944348511e-12,"Phf11b",1
"Mx1",0.00500936874859263,0.0154610146561501,"Mx1",1
"Mgst1",2.74782786638662e-23,3.47826312200838e-22,"Mgst1",1
