"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Wwp1.2",0.00918559930934673,0.187230211804987,0.682,0.629,1,"C","Wwp1"
"Aldh16a1.1",0.0092345665266416,0.275480373713095,0.416,0.35,1,"C","Aldh16a1"
"Fkbp15.1",0.00925887364301929,0.161516039645997,0.748,0.709,1,"C","Fkbp15"
"Gm40841",0.00928835154193349,-0.668384226927685,0.013,0.036,1,"C","Gm40841"
"Numa1.1",0.00928837746733637,0.236495611137764,0.638,0.577,1,"C","Numa1"
"Ppp1r7.2",0.00929553608991437,-0.281070340185274,0.416,0.456,1,"C","Ppp1r7"
"Rin2.2",0.0093072454528239,-0.221376355416795,0.63,0.673,1,"C","Rin2"
"Herc2.1",0.00935631716109997,-0.198131818280848,0.466,0.515,1,"C","Herc2"
"D1Ertd622e.2",0.00936833967667602,0.300823375677519,0.588,0.53,1,"C","D1Ertd622e"
"A330069E16Rik.1",0.00939168508874538,-1.81586626341013,0.006,0.024,1,"C","A330069E16Rik"
"Rnps1.1",0.00941037535748719,-0.263024507377403,0.439,0.478,1,"C","Rnps1"
"D16Ertd472e",0.00944204883303432,-0.46979582873886,0.148,0.196,1,"C","D16Ertd472e"
"Papss2.2",0.00946070562641684,0.502661690774327,0.129,0.092,1,"C","Papss2"
"Nono.1",0.00946823405281499,0.163286947958269,0.823,0.793,1,"C","Nono"
"Col15a1.1",0.00947170412366077,-0.900340203749062,0.052,0.085,1,"C","Col15a1"
"Itgav.2",0.00947618964445989,0.218715627047644,0.676,0.626,1,"C","Itgav"
"Pa2g4.1",0.00948727815861267,-0.151698447242072,0.647,0.674,1,"C","Pa2g4"
"Prkd3.1",0.00950612000302661,-0.341847151414098,0.277,0.33,1,"C","Prkd3"
"Gm15853.1",0.00953844099931558,-1.2963224895296,0.01,0.03,1,"C","Gm15853"
"Gins1.1",0.0095424645909886,-0.62854305403199,0.062,0.099,1,"C","Gins1"
"Sirt3.2",0.00954545061329457,-0.406030081629261,0.185,0.234,1,"C","Sirt3"
"Saa1",0.00955898403095713,1.38964220326186,0.033,0.016,1,"C","Saa1"
